j,psi,blm_firm_type
667,-0.0907826555792431,2
668,-0.411910311173228,7
669,-0.0766033020996264,2
670,0.494968475002957,4
671,0.166526204178575,1
672,-0.332364115273989,8
673,0.253976059600311,9
674,0.298204155339813,9
675,0.0983937951245882,9
676,0.378460496678282,9
677,0.16801263549731,2
678,-0.0545959766681931,1
679,-0.435563225524379,7
680,-0.157706558024918,2
681,0.0515965688221095,9
682,-0.547405498116875,7
683,0.795103195382249,1
684,0.241484822014812,1
685,-1.09088044458639,0
686,-0.336739617858507,8
687,-0.225900109755365,2
688,0.0114227964144666,8
689,0.429239846208642,4
690,-1.37762205847046,0
691,0.0175396459003539,2
692,0.164260886305426,9
693,-0.30577790557038,7
694,-0.210720699341667,2
695,0.931780698734715,6
696,-0.43140162713769,5
697,-0.214637641840493,8
698,-0.38101973711778,8
699,-0.955882149405872,5
700,-1.18695093699271,0
701,-0.601072500110197,3
702,1.13042244749671,6
703,-0.229702839387878,2
704,-0.0895969408447997,8
705,0.31742311508862,1
706,0.467355528827279,9
707,0.212358140764005,9
708,-0.625946979428032,7
709,-0.0584759432425751,8
710,0.927391318166473,6
711,0.113916629868807,2
712,0.852420045829674,6
713,0.0146004701865786,2
714,-0.362423749296466,2
715,0.0484764888212581,9
716,0.0264535266892219,2
717,0.171444174163177,9
718,0.93725239992837,6
719,-0.692994749804621,7
720,0.72461984266267,4
721,-0.0550256056823177,3
722,0.568832150093006,1
723,0.253528556577518,4
724,-0.441768831746852,5
725,-0.286827623997028,2
726,0.260714491187918,2
727,0.813843710798995,6
728,-0.450425819391368,3
729,0.495228840288168,1
730,0.380456152887036,1
731,0.309114801602513,2
732,0.366679431022597,9
733,0.117662010684673,9
734,0.578959835738707,9
735,0.294912132178256,4
736,0.437637511692805,4
737,-0.617772415554322,3
738,-0.266997647432783,3
739,-0.509357052273494,3
740,0.366269139468756,2
741,-0.0425841595726345,2
742,0.768522165624539,6
743,-0.312140306638246,7
744,0.144103228372999,9
745,-0.200359035182704,2
746,0.29379866153957,9
747,0.129435855921437,9
748,-0.418025669520476,7
749,0.4272798521303,9
750,-0.39376595252656,2
751,0.404672650086294,4
752,0.490419131798476,1
753,0.565550884894122,1
754,0.095542788390793,9
755,0.552210030440753,9
756,-0.222082339756121,3
757,0.090840874739289,9
758,0.543949172527767,4
759,-0.116135720252724,9
760,0.459225732740869,2
761,0.921981417618034,4
762,-0.125356461474832,8
763,0.0192376983783353,2
764,0.473286994277713,4
765,-0.203375785914012,7
766,-0.0122799637715919,8
767,0.0897311098918675,9
768,0.35993564911201,9
769,0.0112274118475754,8
770,-0.0574763356315365,9
771,-0.882063012521801,0
772,-0.268969006392152,8
773,0.49549469852052,6
774,0.13083995872396,9
775,0.101423019669116,2
776,-0.038454681024078,7
777,-1.1932710911273,5
778,-0.273439496042877,8
779,-0.25433902026927,8
780,0.0959281775344276,2
781,0.706977560786189,4
782,-0.934509750115368,5
783,0.305592422238311,1
784,-0.38520324170741,7
785,-0.25924966051185,2
786,0.425766743704694,4
787,0.0526162155358089,9
788,-0.262720696457295,2
789,-0.614308917132788,5
790,0.429427439779225,6
791,-0.436773399464056,7
792,-0.0855446482091081,9
793,-0.00728544180382149,2
794,0.462451236503664,4
795,-0.342207747544527,2
796,-0.309233344266783,8
797,0.633969932760049,6
798,-0.661439797059152,5
799,0.744140488922389,6
800,-0.474668868558305,8
801,0.398083317292768,1
802,-0.176400816056939,2
803,0.0242333686810072,2
804,0.156209696322231,1
805,0.666667265565686,1
806,0.170067886407573,9
807,0.25517523199133,1
808,0.525780612499602,1
809,0.251545463056638,1
810,0.630382572899897,4
811,-0.0406589474250131,8
812,-0.598778981786818,7
813,0.124232410290948,9
814,0.82536491891506,6
815,0.206688918833337,8
816,-0.0686758163671252,9
817,0.333017256054417,1
818,-0.372849845438879,3
819,-0.651264592364296,8
820,0.38137279550164,1
821,0.197674353287103,9
822,-0.178403898246094,8
823,-0.307677837372187,8
824,0.293335737249859,4
825,-0.131160441767505,9
826,-0.591230413714545,8
827,-0.695319128881795,5
828,0.327705854251574,9
829,-0.69443489019097,7
830,-0.076152234641464,2
831,0.594978170402145,4
832,-0.546146271311477,3
833,0.891942470344364,4
834,0.117286349327911,1
835,-0.0822361312610194,8
836,0.106974908709303,2
837,-0.0528746650970956,2
838,0.32092030805898,9
839,-0.0370697031475177,8
840,0.592117771106968,4
841,-0.00111948642416337,2
842,-0.449721296868501,7
843,0.209069571234292,9
844,0.68156275415037,1
